#RestWavelength(Angs),f$_\lambda$
3503.5462253546034,1.478309526973007
3507.3733457845315,1.4510503786313234
3511.20046621446,1.432424048391369
3515.0275866443876,1.4281158768031428
3518.854707074316,1.4413683625013776
3522.6818275042447,1.460716278432564
3526.5089479341723,1.4717146058082509
3530.3360683641004,1.4761880937637848
3534.1631887940293,1.4845845813893348
3537.9903092239574,1.4957423433248487
3541.817429653885,1.4996281592174991
3545.6445500838126,1.4951584612042592
3549.471670513742,1.4920909824692035
3553.2987909436692,1.495761673617303
3557.125911373598,1.4983639410784961
3560.953031803526,1.49028318764891
3564.780152233454,1.4740935655257732
3568.607272663382,1.4557248287532318
3572.43439309331,1.4425947294967145
3576.261513523239,1.4460862547323334
3580.088633953166,1.469777014206936
3583.9157543830947,1.5024653880585648
3587.742874813023,1.5260001866355903
3591.569995242951,1.5282580829308183
3595.3971156728794,1.5140569626537532
3599.224236102808,1.499722310750474
3603.0513565327356,1.4911882547272315
3606.8784769626636,1.4838243475008075
3610.7055973925917,1.4718934189234893
3614.5327178225198,1.459900782751161
3618.3598382524483,1.4601948551954307
3622.1869586823764,1.4775102704145158
3626.014079112304,1.4938205425555309
3629.8411995422325,1.4924754133180405
3633.6683199721606,1.4774184601091715
3637.4954404020896,1.4668694351778002
3641.3225608320176,1.4656183203969684
3645.149681261945,1.4661350354618334
3648.976801691874,1.4661093117374047
3652.8039221218005,1.4634664831803958
3656.6310425517295,1.459515476033731
3660.4581629816576,1.4611483194822301
3664.285283411585,1.4687554134680167
3668.112403841514,1.4697716147264341
3671.939524271442,1.4613491181742655
3675.7666447013703,1.454539003744926
3679.5937651312993,1.4556686714989358
3683.420885561227,1.4618643835858
3687.248005991155,1.4702116166369128
3691.075126421083,1.4809391596707773
3694.902246851011,1.4850697044517445
3698.7293672809396,1.475784617032743
3702.556487710867,1.460232661221304
3706.3836081407953,1.4460693861585496
3710.210728570724,1.444117672423423
3714.037849000652,1.4768282033508564
3717.86496943058,1.5581327829686025
3721.6920898605085,1.664013578342095
3725.5192102904366,1.745538227894548
3729.3463307203647,1.770423494417647
3733.173451150293,1.7324782819156863
