#RestWavelength(Angs),f$_\lambda$
3500.630291536919,1.070423400072487
3501.357166597454,1.1036839773193303
3502.0840416579895,1.1010861456615828
3502.8109167185244,1.13185483330238
3503.5377917790597,1.1861994054186882
3504.264666839594,1.1713614498993283
3504.99154190013,1.0999227330949644
3505.718416960665,1.0931889687792857
3506.4452920212007,1.1195300744778296
3507.172167081736,1.0918321380369944
3507.899042142271,1.0395580153110564
3508.6259172028067,1.0220264751367736
3509.352792263342,1.1038408667264032
3510.079667323877,1.1698999134467618
3510.806542384412,1.1536463189891235
3511.533417444947,1.0404720349148358
3512.260292505483,1.0231654760020292
3512.987167566018,1.134258374517029
3513.714042626553,1.1673724744304452
3514.440917687088,1.1786400150120548
3515.1677927476235,1.1757663608665392
3515.8946678081584,1.1372971855256493
3516.6215428686937,1.1168869938597592
3517.348417929229,1.125039542724859
3518.0752929897644,1.1585526737053997
3518.8021680502993,1.1609665451545288
3519.5290431108347,1.101824571228719
3520.25591817137,1.0816401842027725
3520.982793231906,1.1396236080563724
3521.7096682924407,1.1810878940956981
3522.4365433529756,1.1945150279285446
3523.163418413511,1.1666321546788891
3523.8902934740463,1.1221710115687762
3524.6171685345817,1.0856956279939356
3525.344043595117,1.0564296552604802
3526.070918655652,1.0857434397132204
3526.7977937161872,1.135046483535358
3527.524668776722,1.1481814911184967
3528.251543837257,1.1298627891757433
3528.978418897793,1.1500969812705895
3529.705293958328,1.193732330863132
3530.432169018863,1.193109714912108
3531.1590440793984,1.1788659832949766
3531.8859191399333,1.1982678740715325
3532.6127942004687,1.2197446559964318
3533.339669261004,1.2383018148238683
3534.0665443215394,1.23124291332517
3534.7934193820747,1.1849394524662897
3535.5202944426096,1.111842064047728
3536.247169503144,1.058652311091051
3536.9740445636803,1.096143766587694
3537.700919624215,1.1923013679709507
3538.4277946847506,1.243565717391852
3539.154669745286,1.2710995049947225
3539.8815448058212,1.2824061710521792
3540.6084198663566,1.2240240961626156
3541.335294926892,1.1754840254562495
3542.062169987427,1.197183474166179
3542.789045047962,1.1841119210830922
3543.5159201084975,1.1145510812642756
3544.242795169033,1.0684241809673394
3544.969670229568,1.0768263384841688
3545.696545290103,1.1215762129907167
3546.423420350638,1.1910923198093644
3547.1502954111734,1.212927806705585
3547.8771704717083,1.1202408765806229
3548.604045532244,1.0422935588168785
3549.330920592779,1.0726963807560765
3550.0577956533143,1.133074188491164
3550.7846707138497,1.2031028730894668
3551.511545774385,1.2238977099571184
3552.23842083492,1.1948510369272707
3552.9652958954557,1.181901391956351
3553.692170955991,1.1945218568107252
3554.419046016526,1.1969827835872133
3555.145921077061,1.2071353877854845
3555.872796137596,1.237266748161177
3556.599671198132,1.283629882473264
3557.326546258667,1.2674189719636133
3558.053421319202,1.1503821215959
3558.780296379737,1.0492395085945785
3559.5071714402725,1.1001133771810576
3560.2340465008074,1.1667038912869976
3560.9609215613427,1.2178771286191168
3561.687796621878,1.2156580256237717
3562.4146716824134,1.1531770034339646
3563.1415467429483,1.1035200151363147
3563.868421803483,1.1319188041573036
3564.595296864019,1.18234252601448
3565.3221719245544,1.1954180314392464
3566.0490469850893,1.1421378914655589
3566.7759220456246,1.0277044615422717
3567.50279710616,0.9757300676670042
3568.2296721666944,1.0526669104867978
3568.95654722723,1.1563219526957726
3569.683422287765,1.2130410844741484
3570.410297348301,1.2027566023904572
